cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Heming,1,10,ElasticNet,8,0.75,0.6790123456790123,0.7708333333333333,0.7277074777074777,0.8,0.6153846153846153,0.5773502691896258,-0.24253562503633297
Heming,1,15,DE_top,8,0.75,0.6790123456790123,0.7708333333333333,0.7376382876382876,0.8,0.6153846153846153,0.5773502691896258,-0.24253562503633297
Heming,1,15,HVG,8,0.8125,0.6419753086419753,0.8041666666666667,0.7144179894179894,0.7272727272727273,0.6666666666666666,0.3779644730092272,0.0
Heming,1,15,LASSO,8,0.6875,0.6296296296296297,0.7470238095238095,0.683372437294006,0.6,0.64,0.0,0.0
Heming,1,15,ElasticNet,8,0.8125,0.6296296296296295,0.8041666666666667,0.6674501424501424,0.8,0.6666666666666667,0.5773502691896258,0.14907119849998599
Heming,1,20,DE_top,8,0.75,0.7037037037037037,0.7708333333333333,0.7814814814814814,0.8,0.6153846153846153,0.5773502691896258,-0.24253562503633297
Heming,1,20,HVG,8,0.8125,0.7037037037037037,0.8041666666666667,0.766160636748872,0.8,0.6666666666666666,0.5773502691896258,0.0
Heming,1,20,LASSO,8,0.75,0.6790123456790123,0.7708333333333333,0.7674782008115342,0.7272727272727273,0.6666666666666667,0.3779644730092272,0.14907119849998599
Heming,1,20,ElasticNet,8,0.8125,0.6790123456790123,0.8041666666666667,0.7351148851148851,0.8,0.64,0.5773502691896258,0.0
Heming,1,30,DE_top,8,0.75,0.7160493827160493,0.7708333333333333,0.7614478114478115,0.8,0.6666666666666667,0.5773502691896258,0.14907119849998599
Heming,1,30,HVG,8,0.8125,0.5802469135802468,0.8041666666666667,0.5921957671957672,0.8,0.6666666666666666,0.5773502691896258,0.0
Heming,1,30,LASSO,8,0.8125,0.654320987654321,0.8041666666666667,0.7036334036334037,0.888888888888889,0.6666666666666667,0.7745966692414834,0.14907119849998599
Heming,1,30,ElasticNet,8,0.75,0.654320987654321,0.7708333333333333,0.6425222925222925,0.8,0.64,0.5773502691896258,0.0
Heming,1,50,DE_top,8,0.8125,0.6666666666666666,0.8041666666666667,0.6408128908128907,0.8,0.6153846153846153,0.5773502691896258,-0.24253562503633297
Heming,1,50,HVG,8,0.8125,0.654320987654321,0.8041666666666667,0.7397232397232397,0.8,0.6666666666666666,0.5773502691896258,0.0
