method,holdout,fold,cell_type,rho
ElasticNet,Heming,1,Mono,0.597027360059327
ElasticNet,Heming,1,NK,0.6375160318053703
ElasticNet,Heming,1,dnT,0.6271057689434371
ElasticNet,Heming,1,gdT,0.4883490058938727
ElasticNet,Heming,2,B,0.53863413389031
ElasticNet,Heming,2,CD4_T,0.6546620425571816
ElasticNet,Heming,2,CD8_T,0.6920581693644468
ElasticNet,Heming,2,DC,0.5754892209137316
ElasticNet,Heming,2,Mono,0.4910901101180708
ElasticNet,Heming,2,NK,0.7889934167070717
ElasticNet,Heming,2,dnT,0.6811846034445332
ElasticNet,Heming,2,gdT,0.5456932680154414
HVG,Heming,1,B,0.3820313731432153
HVG,Heming,1,CD4_T,0.5452079547421044
HVG,Heming,1,CD8_T,0.4252440331343372
HVG,Heming,1,DC,0.2814912207892723
HVG,Heming,1,Mono,0.3565593506870697
HVG,Heming,1,NK,0.446269430959243
HVG,Heming,1,dnT,0.7338188225457164
HVG,Heming,1,gdT,0.2803122400443596
HVG,Heming,2,B,0.386493910638
HVG,Heming,2,CD4_T,0.5494768707951272
HVG,Heming,2,CD8_T,0.3949777052879399
HVG,Heming,2,DC,0.3128899177387115
HVG,Heming,2,Mono,0.5266582638195157
HVG,Heming,2,NK,0.3966848045079233
HVG,Heming,2,dnT,0.6823449302093653
HVG,Heming,2,gdT,0.3436932529951439
LASSO,Heming,1,B,0.5072309290225611
LASSO,Heming,1,CD4_T,0.3650502404643101
LASSO,Heming,1,CD8_T,0.3776949180106193
LASSO,Heming,1,DC,0.3746554907188911
LASSO,Heming,1,Mono,0.2488019077268437
LASSO,Heming,1,NK,0.3791818485851734
LASSO,Heming,1,dnT,0.34424760470752
LASSO,Heming,1,gdT,0.2489305460352018
LASSO,Heming,2,B,0.348057507849878
LASSO,Heming,2,CD4_T,0.2917837013034691
LASSO,Heming,2,CD8_T,0.2558918201062713
LASSO,Heming,2,DC,0.3172362859360744
LASSO,Heming,2,Mono,0.260447155920351
LASSO,Heming,2,NK,0.2585672881115727
LASSO,Heming,2,dnT,0.2509582606984803
LASSO,Heming,2,gdT,0.3248124764185418
QUBO,Heming,1,B,0.2074918576329191
QUBO,Heming,1,CD4_T,0.4370187844572439
QUBO,Heming,1,CD8_T,0.2751403111745252
QUBO,Heming,1,DC,0.4368239734014384
QUBO,Heming,1,Mono,0.2197181406906942
QUBO,Heming,1,NK,0.2708019504846005
QUBO,Heming,1,dnT,0.2446640950033881
QUBO,Heming,1,gdT,0.2402171122517304
QUBO,Heming,2,B,0.3412231846392818
QUBO,Heming,2,CD4_T,0.5240615786553717
QUBO,Heming,2,CD8_T,0.3791082088589577
QUBO,Heming,2,DC,0.3341299080837867
QUBO,Heming,2,Mono,0.1887498407557879
QUBO,Heming,2,NK,0.232117143226887
QUBO,Heming,2,dnT,0.3432253573908453
QUBO,Heming,2,gdT,0.3299349454848046
mRMR,Heming,1,B,0.2874902600139745
mRMR,Heming,1,CD4_T,0.3961454843684906
mRMR,Heming,1,CD8_T,0.3424947686240402
mRMR,Heming,1,DC,0.3598537365116092
mRMR,Heming,1,Mono,0.2737965102251067
mRMR,Heming,1,NK,0.34355494284901
mRMR,Heming,1,dnT,0.334831224024089
mRMR,Heming,1,gdT,0.2720713047808836
mRMR,Heming,2,B,0.3007229893221438
mRMR,Heming,2,CD4_T,0.3687354112913368
mRMR,Heming,2,CD8_T,0.3256300508102686
mRMR,Heming,2,DC,0.3500240600566042
mRMR,Heming,2,Mono,0.2381191325721614
mRMR,Heming,2,NK,0.3039266070673345
mRMR,Heming,2,dnT,0.3780066220032608
mRMR,Heming,2,gdT,0.2998117185320985
DE_top,Ramesh,1,B,0.2852094161736698
DE_top,Ramesh,1,CD4_T,0.3555530463204432
DE_top,Ramesh,1,CD8_T,0.3127965059528722
DE_top,Ramesh,1,DC,0.3991629855173148
DE_top,Ramesh,1,Mono,0.2683360229411783
DE_top,Ramesh,1,NK,0.3316665135916534
DE_top,Ramesh,1,dnT,0.4229862656025362
DE_top,Ramesh,1,gdT,0.2639305666500484
DE_top,Ramesh,2,B,0.4969622580475729
DE_top,Ramesh,2,CD4_T,0.3362191495127299
DE_top,Ramesh,2,CD8_T,0.3245679676293997
DE_top,Ramesh,2,DC,0.3721256717180159
DE_top,Ramesh,2,Mono,0.3291457843153132
DE_top,Ramesh,2,NK,0.2585294018009482
DE_top,Ramesh,2,dnT,0.3931686681566306
DE_top,Ramesh,2,gdT,0.3770359028151654
DE_top,Ramesh,3,B,0.2866284513172685
DE_top,Ramesh,3,CD4_T,0.3702201469705318
DE_top,Ramesh,3,CD8_T,0.3289487251219378
DE_top,Ramesh,3,DC,0.313786122154289
DE_top,Ramesh,3,Mono,0.2443653470367638
DE_top,Ramesh,3,NK,0.261851103771367
DE_top,Ramesh,3,dnT,0.3709495207429332
DE_top,Ramesh,3,gdT,0.2270814466754764
ElasticNet,Ramesh,1,B,0.4472447285717723
ElasticNet,Ramesh,1,CD4_T,0.3288835186588893
ElasticNet,Ramesh,1,CD8_T,0.3758739136824892
ElasticNet,Ramesh,1,DC,0.3568285225994084
ElasticNet,Ramesh,1,Mono,0.2528018512530604
ElasticNet,Ramesh,1,NK,0.2894845058493701
ElasticNet,Ramesh,1,dnT,0.2821437548634052
ElasticNet,Ramesh,1,gdT,0.1935743175345511
ElasticNet,Ramesh,2,B,0.317574224056082
ElasticNet,Ramesh,2,CD4_T,0.2911590312870222
ElasticNet,Ramesh,2,CD8_T,0.2505147682168234
ElasticNet,Ramesh,2,DC,0.3437863497682137
ElasticNet,Ramesh,2,Mono,0.2658058586016875
ElasticNet,Ramesh,2,NK,0.270613876745684
ElasticNet,Ramesh,2,dnT,0.3472491312404751
ElasticNet,Ramesh,2,gdT,0.236171573532034
ElasticNet,Ramesh,3,B,0.552631276081406
ElasticNet,Ramesh,3,CD4_T,0.2422445218937732
ElasticNet,Ramesh,3,CD8_T,0.2709591177865997
ElasticNet,Ramesh,3,DC,0.4036450267528852
ElasticNet,Ramesh,3,Mono,0.2209653918321616
ElasticNet,Ramesh,3,NK,0.1892874022633716
ElasticNet,Ramesh,3,dnT,0.266013588803834
ElasticNet,Ramesh,3,gdT,0.2522382669609981
HVG,Ramesh,1,B,0.3269867270320367
HVG,Ramesh,1,CD4_T,0.8156908408813766
HVG,Ramesh,1,CD8_T,0.7506421460943478
HVG,Ramesh,1,DC,0.5744866454712544
HVG,Ramesh,1,Mono,0.405603179512764
HVG,Ramesh,1,NK,0.7116056719653906
HVG,Ramesh,1,dnT,0.6158914570850227
HVG,Ramesh,1,gdT,0.5694205253034911
HVG,Ramesh,2,B,0.2543775017484505
HVG,Ramesh,2,CD4_T,0.686972022431526
HVG,Ramesh,2,CD8_T,0.6800666792413783
HVG,Ramesh,2,DC,0.3506487320760895
